bot	sys	pubid	text	templateId	templateText	timestamp	etalon_text
kuber	15.0	224	интересует не инвентаризационная комиссия, а комиссия по поступлению и выбытию активов	432354	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/118/26741/actual/	2024-02-08T10:18:36.292	протокол комиссии по поступлению и выбытию активов образец
kuber	15.0	224	Как отразить на счетах санкционирования денежные обязательства по транспортному налогу за 4 квартал 2023 года?	570269	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/664274/actual/	2024-02-08T10:19:33.501	штрафы как отразить денежные обязательства в 1с
kuber	15.0	224	может ли входить материально-ответственное лицо в члены комиссии по поступлению и выбытию активов	577316	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/16/143779/actual/	2024-02-08T10:19:48.949	может ли материально-ответственное лицо входить в состав комиссии по инвентаризации
kuber	15.0	21	Подскажите на каклом счете учитываются огнетушители	538198	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/607067/actual/	2024-02-08T10:21:25.535	по какому косгу учитывается зарядка огнетушителей
kuber	15.0	224	Добрый день! Подскажите, пожалуйста, какую форму путевого листа трактора применять в бюджетном учреждении	550977	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/629379/actual/	2024-02-08T10:21:31.412	форма путевого листа трактора
kuber	15.0	224	Скажите а есть конкретно информация о подтверждении расходов на проживание	537293	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/443890/actual/	2024-02-08T10:21:32.415	оплата проживания без подтверждения документов в командировке
kuber	15.0	21	Здравствуйте! Подскажите, пожалуйста, какие формы электронных документов бюджетное учреждение обязано применять с 01.01.2024?	577283	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/678896/actual/	2024-02-08T10:22:47.790	электронные документы, применяемые с 01 января 2024 года
kuber	15.0	224	квр и косгу по ремонту видеонаблюдения в учреждении	581271	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/686812/actual/	2024-02-08T10:23:40.825	ремонт системы охранного видеонаблюдения косгу
kuber	15.0	224	добрый день, по работнику есть исполнительный лист на алименты на 2 детей, если 1 ребенку исполнилось 18 лет. бухгалтер должен прекратить удержание алиментов на 1 ребенка в связи с совершеннолетием или нужно дождаться от пристава документ о прекращении удержания?	528075	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/592576/actual/	2024-02-08T10:24:58.844	исполнительный лист алименты по достижению 18 лет одному из детей
kuber	15.0	224	Добрый день. Подскажите пожалуйста по какому КОСГУ оплатить услуги автобочки для перекачки и очистки сточной жидкости?	581379	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/504039/actual/	2024-02-08T10:27:31.099	с какой КОСГУ оплатить тормозную жидкость
kuber	15.0	21	Здравствуйте, подскажите пожалуйста по какому КОСГУ можно приобрести металлический тубус для ключей,	554690	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/12/485818/actual/	2024-02-08T10:28:50.186	на какой косгу отнести ключи
kuber	15.0	25	"Разъясните пожалуйста, При расчете среднего заработка мы руководствуемся постановлением Правительства Российской Федерации от 24 декабря 2007 г. N 922 ""Об особенностях порядка исчисления средней заработной платы"". А кто тогда должен  руководствоваться Постановлением правительства рф от 24.06.2023 № 1026 ""Об исчислении среднего заработка"""	577620	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/679802/actual/	2024-02-08T10:30:30.706	п. 4 постановления правительства российской федерации от 24 декабря 2007 г. n 922 об особенностях порядка исчисления средней заработной платы
kuber	15.0	224	Здравствуйте! Вопрос: какой КОСГУ для услуг автобочки по перекачки и очистки  сточной жидкости?	581379	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/504039/actual/	2024-02-08T10:32:14.814	к какому КОСГУ отнести жидкость незамерзающую
kuber	15.0	224	Добрый день! Подскажите, пожалуйста. у казенного учреждения на начало 2023 г.. дебетовые остатки на счете 303.10. Что с ними делать?	575394	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/674741/actual/	2024-02-08T10:37:28.095	как отразить дебетовые остатки на начало года по счету 303 в отчетности на 01.07.2023
kuber	15.0	25	здраствуйте. входит ли в ф 710, 4721 безвозмездная передача с 194 между организацией и комунальником	575808	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/16/143636/actual/	2024-02-08T10:40:54.219	безвозмездная передача между учреждением и общественной организацией какое косгу применить
kuber	15.0	25	по какому косгу и квр оплачивать пени за несвоевременную оплату по договору	569922	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/12/495444/actual/	2024-02-08T10:44:09.915	косгу и квр пени за несвоевременную уплату налогов
kuber	15.0	25	Добрый день! Подскажите пожалуйста код налогового вычета. Выплата к Юбилею или материальная помощь к юбилею или юбилейная дата. Сумма полностью не облагается налогом в форме 6-НДФЛ.	523696	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/585270/actual/	2024-02-08T10:45:39.426	6-ндфл материальная помощь код
kuber	15.0	21	Здравствуйте! Подскажите, бюджетное учреждение списывает матрац, одеяло, постельное белье на основании акта о списании мягкого и хозяйственного инвентаря ф.0504143? Данный мягкий инвентарь подлежит  уничтожению. Нужно оформлять ли акт утилизации? Спасибо!	589505	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/700455/actual/	2024-02-08T10:46:32.242	как списать мягкий инвентарь в бюджетном учреждении
kuber	15.0	21	Добрый день! С какой стоимостью ОС должны отражаться в П-2 (статистика), есть ли лимит?	571982	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/667764/actual/	2024-02-08T10:48:16.302	стоимость ос для п-2 статистика
kuber	15.0	194	Добрый день. Мы бюджетная организация. Заключили краткосрочный договор аренды сроком на 3 месяца. Для начисления доходов мы также используем счет 401.40 как и по долгосрочным договорам?	481665	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://gf.action360.ru/#/document/16/75787/actual/	2024-02-08T10:49:49.922	учет доходов по долгосрочным договорам
kuber	15.0	25	Добрый день! Вопрос: забаланс. счет 10 (Банковская гарантия) учитывать по какому КФО (2, 3, 4)?	494405	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/529949/actual/	2024-02-08T10:53:11.999	забалансовый счет 10, как учесть банковскую гарантию
kuber	15.0	25	Банк гарантии по исполнению ГК , заключенных по КФО 4, КФО 2	494405	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/529949/actual/	2024-02-08T10:53:53.675	банковская гарантия проводки кфо
kuber	15.0	21	Здравствуйте! Можно ли заменить денежной компенсацией ежегодный дополнительный оплачиваемый отпуск за ненормированный рабочий день ?	450005	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/16/56069/actual/	2024-02-08T10:55:41.039	замена ежегодного оплачиваемого отпуска денежной компенсацией
kuber	15.0	21	Добрый день, у нас в организации числилась переплата по енп, отправили заявление на возврат. Какими проводками отразить начисление и поступление возврата в бюджет?	579950	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/684551/actual/	2024-02-08T10:56:43.731	енп возврат переплаты
kuber	15.0	224	Добрый день! Новые формы эектронных документов можно подписывать только простой электронной подписью сотрудников или же надо их еще подписывать КЭП?	578372	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/681159/actual/	2024-02-08T10:57:01.256	какие документы можно подписывать простой электронной подписью
kuber	15.0	25	есть ли отличие от права оперативного управления зданием от понятия безвозмездного пользования	412733	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/414024/actual/	2024-02-08T10:57:33.671	профессиональное суждение бухгалтера о безвозмездном праве пользования
kuber	15.0	21	Здравствуйте, подскажите, все ли сотрудники должны проходить мед.осмотр в Доме культуры или не всем обязательно?	554466	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/635806/actual/	2024-02-08T10:58:21.282	компенсация расходов на мед.осмотр сотрудника квр в 2019
kuber	15.0	21	Это расходы на мед осмотр, а я бы хотела узнать всем ли сотрудникам нужно его делать?	554466	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/635806/actual/	2024-02-08T11:00:00.648	возмещение работнику расходов за мед осмотр косгу
kuber	15.0	224	Спасибо,но это информация по бол листам,а мне нужна информация при выплате заработной платы по договору ГПХ и именно взнос 0,2 % начисляется или нет?	572091	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/667873/actual/	2024-02-08T11:02:12.646	начисляются на больничный лист взносы
kuber	15.0	224	Добрый день!  Как правильно оформить компенсацию проезда сотруднику до места работы .	549067	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/598853/actual/	2024-02-08T11:02:45.477	проводки по компенсации стоимости проезда к месту работы, если сотрудник живет в другом городе
kuber	15.0	224	Если дырокол отнесли к матзапасам, можно в момент выдачи в эксплуатацию   на основании Ведомости 0504210 списать с учета?	581502	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/504068/actual/	2024-02-08T11:03:50.323	на какой КОСГУ отнести приобретение дырокола
kuber	15.0	21	Здравствуйте. Мы отправляем больничные листы через сбис, что нужно распечатать на бумаге? Нужно ли вести реестр больничных листов?	586931	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/696756/actual/	2024-02-08T11:03:58.400	как заполнить больничный в сбис
kuber	15.0	21	учредитель передал в безвозмездное пользование имущество как правильно сделать проводки?	576036	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/676339/actual/	2024-02-08T11:06:31.523	учет недвижимого имущества переданного в безвозмездное пользование
kuber	15.0	25	бухгалтерские проводки казенного учреждения на приобретение нежилого здания и земельного участка под ним	580850	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/686180/actual/	2024-02-08T11:10:12.768	проводки принятие к учету нежилых зданий
kuber	15.0	224	Здравствуйте) Пунктами 12-15 раздела III. «Раскрытие сведений о показателях по сегментам» Стандарта 223н в пояснительной записке	576092	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/16/143663/actual/	2024-02-08T11:16:04.025	пояснительная записка задолженность по сегментам
kuber	15.0	224	Ещё раз добрый день! Вопрос опять по Учётной политике. Нужно ли прописывать в УП про изменения балансовой стоимости основного средства в случае ремонта. Если прописывать,то необходимо закрепить в УП к каким конкретно основным средствам применять. И это должны быть контруктивно-сочленённые предметы.	581270	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/686811/actual/	2024-02-08T11:17:52.801	изменение стоимости основных средств при ремонте учетная политика
kuber	15.0	224	Добрый день, подскажите пожалуйста КОСГУ на выполнение работ по очистке и проведению дезинфекции системы канализации	554719	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/485851/actual/	2024-02-08T11:21:01.606	косгу проведение дезинфекции
kuber	15.0	25	расчеты по счету 209.34 в какой журнал операций?	419941	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/408601/actual/	2024-02-08T11:23:45.797	209 счет в каком журнале операций
kuber	15.0	224	Добрый день! Нужно ли сдавать нулевую декларацию по налогу на имущество?	567085	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/658130/actual/	2024-02-08T11:24:05.302	нужно ли сдавать нулевую декларацию по налогу на имущество
kuber	15.0	21	Добрый день! Подскажите пожалуйста актуальную форму П2	571982	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/667764/actual/	2024-02-08T11:27:05.963	п2 отчет
kuber	15.0	21	Поступили средства на возмещение ранее произведенных расходов КВР 130 КОСГУ 134	573138	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/16/143359/actual/	2024-02-08T11:27:38.089	косгу 134
kuber	15.0	25	Когда надо посылать уведомление для ЕНП по земельному налогу? До оплаты или после оплаты налога за 2023г?	569267	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/661666/actual/	2024-02-08T11:27:53.614	как заполнить уведомление по земельному налогу в енп
kuber	15.0	21	Добрый день.Когда выйдет новая форма П-2(инвест) и какой номер по основным средствам	571983	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/667767/actual/	2024-02-08T11:29:11.355	какая редакция формы п-2 инвест в 2023 году
kuber	15.0	21	образец приказа трудовая электронная книга  и отчет СЗВ ТД бюджетное кто ответственный	578810	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/681969/actual/	2024-02-08T11:31:49.427	образец приказа об ответственном за трудовые книжки
kuber	15.0	21	Добрый день! Нужно ли подписывать данную форму Акт приемки товаров, работ, услуг (ф. 0510452) организацией поставщика данных услуг? Или можно подписать только нашей организаций .	481479	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/118/108636/actual/	2024-02-08T11:33:08.318	акт приемки (ф. 0510452) на работы или услуги
kuber	15.0	21	металлодетектор ручной на какой окоф отнести	44623	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/16/115109/actual/	2024-02-08T11:34:04.356	металлодетектор окоф
kuber	15.0	21	Здравствуйте ! Подскажите пожалуйста можем ли мы принять на работу по совместительству на целую ставку ?	584862	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/16/144728/actual/	2024-02-08T11:35:20.941	прием на работу по внешнему совместительству на 0,1 ставки
kuber	15.0	224	Добрый день! По какому КВР  оплачивать НДФЛ и страховые взносы с компенсации за задержку заработной платы?	535304	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/602451/actual/	2024-02-08T11:46:14.084	по какому квр оплатить компенсацию за задержку заработной платы
kuber	15.0	224	При начислении стипендии,  делается проводка по принятым денежным обязательствам? Дт 50211 Кт 50212?	568848	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/16/142496/actual/	2024-02-08T11:47:34.977	начисление стипендии проводки квр
kuber	15.0	224	что можно отнести к основным средствам	546656	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/621554/actual/	2024-02-08T11:48:34.116	основные средства как относить
kuber	15.0	21	здравствуйте пришлите пожалуйста образец должностной инструкции контрактного управляющего по 223-фз	457974	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/118/104896/actual/	2024-02-08T11:48:39.412	Должностная инструкция контрактного управляющего
kuber	15.0	224	Добрый день подскажите пожалуйста косгу и вид расхода: монтаж узла учета газа на очистных сооружениях(оборудование купили отдельным логовором)	554698	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/485825/actual/	2024-02-08T11:49:37.933	косгу монтаж и настройка оборудования
kuber	15.0	224	Нас интересует именно эта проводка Дт 50211 Кт 50212	579064	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/682785/actual/	2024-02-08T11:49:59.645	50212
kuber	15.0	224	отражается ли спонсорская помощь в плане-графике?	581793	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/12/504141/actual/	2024-02-08T11:50:42.073	возмездная спонсорская помощь КОСГУ
kuber	15.0	224	Добрый день. При проведении каких хозяйственных операций  необходимо заполнить форму 0510448?	481470	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/118/108530/actual/	2024-02-08T11:52:31.302	форма 0510448 образец заполнения
kuber	15.0	25	учетная политика 2024 казеное учреждение	572249	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/86/668118/actual/	2024-02-08T11:58:01.331	учетная политика 2024 казенного учреждения
kuber	15.0	25	можно образец приказа о доплате за расширенную зону обслуживания	549026	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/118/127857/actual/	2024-02-08T11:59:47.838	доплата за расширение зоны или совмещение должностей разница
kuber	15.0	224	Добрый день. Какой КПС указать при оприходовании  программного обеспечения полученного в результате разукомплектования.в Казенном учреждении	580867	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/686204/actual/	2024-02-08T12:00:21.585	основное средство в результате разукомплектования
kuber	15.0	224	Подскажите пожалуйста,а нужно ли такие данные отражать в ведомости расхождений по результатам инвентаризации (ф.0504092)?	561782	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/118/134424/actual/	2024-02-08T12:00:51.251	ведомость расхождений по результатам инвентаризации (ф. 0504092) оформляется:
kuber	15.0	224	Добрый день! Больничный за 3 дня бюджетное учреждение относит на КОСГУ 266 и НДФЛ с больничного мы тоже оплачиваем по КОСГУ 266?	586110	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/695545/actual/	2024-02-08T12:04:18.506	ндфл с больничного 2019 год косгу 266
kuber	15.0	25	Спец проект учетная политика 2024	568839	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://vip.gosfinansy.ru/#/document/16/142494/actual/	2024-02-08T12:08:27.841	спец проект учетная политика 2024
kuber	15.0	21	Нужно ли начислять доплату за вредность работникам муниципального бюджетного учреждения сверх МРОТ?	573792	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/12/497823/actual/	2024-02-08T12:08:35.038	при мрот как оплатить сверх
kuber	15.0	224	Возмещение  ГСМ  оприходовать по 343 или 224?	582283	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/688364/actual/	2024-02-09T05:31:34.235	возмещение гсм квр
kuber	15.0	21	как возместить ущерб за разбитый автомобиль  учреждения в дтп	531992	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/12/471958/actual/	2024-02-09T05:32:46.502	возмещение ущерба физическому лицу при дтп КОСГУ
kuber	15.0	21	доброе утро, скажите , пожалуйста, какая форма журнала учета выдачи расчетных листков	587852	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/94768/actual/	2024-02-09T05:32:50.118	журнал учета выдачи расчетных листков есть единая форма
kuber	15.0	224	как правильно отразить изменения кадастровой стоимости	571037	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://plus.gosfinansy.ru/#/document/86/665886/actual/	2024-02-09T05:36:37.267	как учесть изменение кадастровой стоимости земли
kuber	15.0	21	Здравствуйте! Возмещение  медкомиссии  руководителя на прием по какому КОСГУ и КВР?	554466	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://www.gosfinansy.ru/#/document/86/635806/actual/	2024-02-09T05:37:55.106	квр и косгу страховые взносы с медкомиссий работников
